,run,biosample,MIC_AMC,MIC_AMP,MIC_AZM,MIC_FOX,MIC_TIO,MIC_CRO,MIC_CHL,MIC_CIP,MIC_GEN,MIC_NAL,MIC_STR,MIC_FIS,MIC_TET,MIC_SXT,MIC_KAN,SIR_AMC,SIR_AMP,SIR_AZM,SIR_FOX,SIR_TIO,SIR_CRO,SIR_CHL,SIR_CIP,SIR_GEN,SIR_NAL,SIR_STR,SIR_FIS,SIR_TET,SIR_SXT,SIR_KAN,isolation_source,serovar,collection_date,collected_by,geo_loc_name,strain,sub_species,Typing Method,Testing Standard,source,cgmlst_matching_alleles,cgmlst_subspecies,h1,h2,o_antigen,serogroup,serovar_antigen,serovar_cgmlst
907,SRR3665211,SAMN05201664,<= 1,<= 1,4,2,1,<= 0.25,4,<= 0.015,0.5,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,Chicken Wings,Typhimurium,2011,FDA,USA:NM,CVM N32757,enterica,,CLSI,,,,,,,,,
908,SRR3665210,SAMN05201663,> 32,> 32,4,> 32,> 8,32,8,<= 0.015,0.5,4,> 64,<= 16,> 32,<= 0.125,> 64,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible,resistant,ground turkey,Heidelberg,2011,FDA,USA:MN,CVM N32756,enterica,,CLSI,,,,,,,,,
909,SRR3665207,SAMN05201662,32,> 32,4,32,> 8,16,4,<= 0.015,0.5,2,== 64,32,> 32,<= 0.125,<= 8,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible,susceptible,chicken breast,Kentucky,2011,FDA,USA:MN,CVM N32753,enterica,,CLSI,,,,,,,,,
910,SRR3665206,SAMN05201661,<= 1,<= 1,4,4,1,<= 0.25,4,0.03,<= 0.25,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,Enteritidis,2011,FDA,USA:MN,CVM N32752,enterica,,CLSI,,,,,,,,,
911,SRR3665205,SAMN05201660,<= 1,<= 1,4,4,1,<= 0.25,8,0.03,1,2,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,Ground Beef,Mbandaka,2011,FDA,USA:GA,CVM N32751,enterica,,CLSI,,,,,,,,,
912,SRR3665203,SAMN05201659,<= 1,2,4,2,1,<= 0.25,4,<= 0.015,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,Chicken Wings,Kentucky,2011,FDA,USA:GA,CVM N32749,enterica,,CLSI,,,,,,,,,
913,SRR3665202,SAMN05201658,<= 1,<= 1,4,2,0.5,<= 0.25,4,<= 0.015,0.5,2,<= 32,<= 16,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,"18:z4,z23:-",2011,FDA,USA:CA,CVM N32748,arizonae,,CLSI,,,,,,,,,
914,SRR3665201,SAMN05201657,<= 1,<= 1,4,2,0.5,<= 0.25,4,<= 0.015,<= 0.25,2,<= 32,<= 16,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,"18:z4,z23:-",2011,FDA,USA:CA,CVM N32747,arizonae,,CLSI,,,,,,,,,
915,SRR3665200,SAMN05201656,> 32,> 32,4,> 32,> 8,16,4,<= 0.015,0.5,4,<= 32,<= 16,<= 4,<= 0.125,<= 8,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,Typhimurium,2011,FDA,USA:CA,CVM N32746,enterica,,CLSI,,,,,,,,,
916,SRR3665198,SAMN05201655,<= 1,<= 1,4,2,1,<= 0.25,4,<= 0.015,> 16,2,> 64,> 256,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,resistant,susceptible,susceptible,susceptible,chicken breast,Typhimurium,2011,FDA,USA:PA,CVM N32063,enterica,,CLSI,,,,,,,,,
917,SRR3665197,SAMN05201654,<= 1,<= 1,4,2,1,<= 0.25,4,0.03,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,Enteritidis,2011,FDA,USA:PA,CVM N32062,enterica,,CLSI,,,,,,,,,
918,SRR3665196,SAMN05201653,> 32,> 32,4,32,> 8,,8,0.03,2,4,== 32,> 256,> 32,<= 0.125,> 64,resistant,resistant,susceptible,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,resistant,chicken breast,Typhimurium var. 5-,2011,FDA,USA:PA,CVM N32061,enterica,,CLSI,,,,,,,,,
919,SRR3665195,SAMN05201652,<= 1,<= 1,4,2,1,<= 0.25,4,<= 0.015,0.5,2,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,Muenchen,2011,FDA,USA:NY,CVM N32060,enterica,,CLSI,,,,,,,,,
920,SRR3665194,SAMN05201651,8,> 32,4,2,0.5,<= 0.25,4,<= 0.015,<= 0.25,2,<= 32,> 256,> 32,<= 0.125,> 64,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,resistant,chicken breast,Typhimurium,2011,FDA,USA:NY,CVM N32059,enterica,,CLSI,,,,,,,,,
921,SRR3665193,SAMN05201650,<= 1,<= 1,4,2,0.5,<= 0.25,4,<= 0.015,0.5,2,<= 32,<= 16,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,Schwarzengrund,2011,FDA,USA:NY,CVM N32058,enterica,,CLSI,,,,,,,,,
922,SRR3665192,SAMN05201649,> 32,> 32,4,32,> 8,16,4,<= 0.015,<= 0.25,2,<= 32,> 256,> 32,<= 0.125,<= 8,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,susceptible,chicken breast,Typhimurium var. 5-,2011,FDA,USA:NY,CVM N32057,enterica,,CLSI,,,,,,,,,
923,SRR3665189,SAMN05201648,<= 1,<= 1,4,4,1,<= 0.25,4,<= 0.015,0.5,4,<= 32,> 256,> 32,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,susceptible,chicken breast,Typhimurium,2011,FDA,USA:NY,CVM N32054,enterica,,CLSI,,,,,,,,,
924,SRR3665185,SAMN05201647,32,> 32,4,16,8,8,4,<= 0.015,<= 0.25,4,<= 32,> 256,> 32,<= 0.125,<= 8,resistant,resistant,susceptible,intermediate,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,susceptible,ground turkey,Typhimurium var. 5-,2011,FDA,USA:NY,CVM N32050,enterica,,CLSI,,,,,,,,,
925,SRR3665184,SAMN05201646,> 32,> 32,4,32,> 8,8,8,<= 0.015,<= 0.25,2,== 64,> 256,> 32,<= 0.125,<= 8,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,susceptible,chicken breast,Typhimurium var. 5-,2011,FDA,USA:NY,CVM N32049,enterica,,CLSI,,,,,,,,,
926,SRR3665182,SAMN05201645,8,> 32,4,4,1,<= 0.25,8,<= 0.015,<= 0.25,4,<= 32,> 256,> 32,<= 0.125,<= 8,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,susceptible,chicken breast,Typhimurium,2011,FDA,USA:NY,CVM N32047,enterica,,CLSI,,,,,,,,,
927,SRR3665181,SAMN05201644,32,> 32,4,16,> 8,8,8,<= 0.015,<= 0.25,4,<= 32,> 256,> 32,<= 0.125,<= 8,resistant,resistant,susceptible,intermediate,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,susceptible,chicken breast,Typhimurium,2011,FDA,USA:NY,CVM N32046,enterica,,CLSI,,,,,,,,,
928,SRR3665179,SAMN05201643,32,> 32,4,16,8,8,4,<= 0.015,<= 0.25,2,== 64,> 256,> 32,<= 0.125,<= 8,resistant,resistant,susceptible,intermediate,resistant,resistant,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,susceptible,chicken breast,Typhimurium,2011,FDA,USA:NY,CVM N32044,enterica,,CLSI,,,,,,,,,
929,SRR3665178,SAMN05201642,16,> 32,4,2,1,<= 0.25,4,<= 0.015,0.5,2,== 64,64,> 32,<= 0.125,<= 8,intermediate,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible,susceptible,Pork Chop,Hadar,2011,FDA,USA:GA,CVM N32043,enterica,,CLSI,,,,,,,,,
930,SRR3665176,SAMN05201641,<= 1,<= 1,4,1,1,<= 0.25,8,0.03,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,Ground Beef,Montevideo,2011,FDA,USA:GA,CVM N32041,enterica,,CLSI,,,,,,,,,
931,SRR3665175,SAMN05201640,16,> 32,4,2,1,<= 0.25,4,<= 0.015,0.5,4,== 64,32,> 32,<= 0.125,<= 8,intermediate,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible,susceptible,ground turkey,Hadar,2011,FDA,USA:GA,CVM N32040,enterica,,CLSI,,,,,,,,,
932,SRR3665174,SAMN05201639,16,> 32,4,2,1,<= 0.25,4,<= 0.015,1,4,== 64,32,> 32,<= 0.125,<= 8,intermediate,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible,susceptible,ground turkey,Hadar,2011,FDA,USA:GA,CVM N32039,enterica,,CLSI,,,,,,,,,
933,SRR3665172,SAMN05201638,16,> 32,4,2,1,<= 0.25,8,<= 0.015,> 16,4,== 64,> 256,> 32,<= 0.125,<= 8,intermediate,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,ground turkey,Saintpaul,2011,FDA,USA:MD,CVM N31845,enterica,,CLSI,,,,,,,,,
934,SRR3665170,SAMN05201637,<= 1,<= 1,4,2,1,<= 0.25,4,<= 0.015,0.5,4,== 64,32,> 32,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible,susceptible,ground turkey,Hadar,2011,FDA,USA:CO,CVM N31842,enterica,,CLSI,,,,,,,,,
935,SRR3665169,SAMN05201636,<= 1,<= 1,2,2,1,0.5,4,<= 0.015,2,4,> 64,32,> 32,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible,susceptible,ground turkey,Hadar,2011,FDA,USA:CO,CVM N31841,enterica,,CLSI,,,,,,,,,
936,SRR3665168,SAMN05201635,> 32,> 32,4,> 32,> 8,64,8,<= 0.015,2,4,== 32,32,<= 4,<= 0.125,<= 8,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,Saintpaul,2011,FDA,USA:CO,CVM N31840,enterica,,CLSI,,,,,,,,,
937,SRR3665167,SAMN05201634,> 32,> 32,4,> 32,> 8,32,4,<= 0.015,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,Albany,2011,FDA,USA:CO,CVM N31839,enterica,,CLSI,,,,,,,,,
938,SRR3665166,SAMN05201633,8,> 32,4,4,1,<= 0.25,4,<= 0.015,> 16,2,> 64,32,> 32,<= 0.125,<= 8,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible,resistant,susceptible,susceptible,ground turkey,Saintpaul,2011,FDA,USA:CO,CVM N31838,enterica,,CLSI,,,,,,,,,
939,SRR3665165,SAMN05201632,<= 1,<= 1,4,2,0.5,<= 0.25,4,<= 0.015,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,Schwarzengrund,2011,FDA,USA:CO,CVM N31837,enterica,,CLSI,,,,,,,,,
940,SRR3665164,SAMN05201631,2,32,4,4,0.5,<= 0.25,8,<= 0.015,0.5,2,<= 32,64,> 32,<= 0.125,<= 8,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,Saintpaul,2011,FDA,USA:CO,CVM N31836,enterica,,CLSI,,,,,,,,,
941,SRR3665163,SAMN05201630,<= 1,<= 1,4,2,0.5,<= 0.25,4,<= 0.015,<= 0.25,2,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,"18:z4,z23:-",2011,FDA,USA:CO,CVM N31835,arizonae,,CLSI,,,,,,,,,
942,SRR3665162,SAMN05201629,<= 1,<= 1,4,2,0.5,<= 0.25,4,<= 0.015,0.5,2,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,Schwarzengrund,2011,FDA,USA:CO,CVM N31834,enterica,,CLSI,,,,,,,,,
943,SRR3665161,SAMN05201628,16,> 32,8,2,1,<= 0.25,8,<= 0.015,> 16,4,> 64,64,> 32,<= 0.125,== 16,intermediate,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible,resistant,susceptible,susceptible,ground turkey,Heidelberg,2011,FDA,USA:CO,CVM N31833,enterica,,CLSI,,,,,,,,,
944,SRR3665160,SAMN05201627,8,> 32,4,4,1,<= 0.25,8,<= 0.015,0.5,2,== 8,32,> 32,<= 0.125,<= 8,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,Saintpaul,2011,FDA,USA:CO,CVM N31832,enterica,,CLSI,,,,,,,,,
945,SRR3665159,SAMN05201626,8,> 32,4,4,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,64,> 32,<= 0.125,<= 8,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,Saintpaul,2011,FDA,USA:CO,CVM N31831,enterica,,CLSI,,,,,,,,,
946,SRR3665158,SAMN05201625,<= 1,<= 1,4,2,1,<= 0.25,8,<= 0.015,1,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,Heidelberg,2011,FDA,USA:CO,CVM N31830,enterica,,CLSI,,,,,,,,,
947,SRR3665156,SAMN05201624,> 32,> 32,8,> 32,> 8,16,8,<= 0.015,8,2,> 64,64,> 32,<= 0.125,<= 8,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,intermediate,susceptible,resistant,susceptible,resistant,susceptible,susceptible,ground turkey,Brandenburg,2011,FDA,USA:OR,CVM N31596,enterica,,CLSI,,,,,,,,,
948,SRR3665155,SAMN05201623,<= 1,<= 1,4,4,1,<= 0.25,4,<= 0.015,0.5,2,> 64,32,> 32,<= 0.125,> 64,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible,resistant,chicken breast,Kentucky,2011,FDA,USA:OR,CVM N31595,enterica,,CLSI,,,,,,,,,
949,SRR3665154,SAMN05201622,32,> 32,4,> 32,> 8,64,4,<= 0.015,0.5,2,<= 32,32,<= 4,<= 0.125,<= 8,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,Infantis,2011,FDA,USA:GA,CVM N31594,enterica,,CLSI,,,,,,,,,
950,SRR3665152,SAMN05201621,<= 1,<= 1,4,2,0.5,<= 0.25,4,<= 0.015,0.5,2,== 64,32,> 32,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible,susceptible,chicken breast,Kentucky,2011,FDA,USA:CT,CVM N31592,enterica,,CLSI,,,,,,,,,
951,SRR3665151,SAMN05201620,<= 1,2,4,4,2,<= 0.25,8,<= 0.015,> 16,4,> 64,> 256,> 32,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,ground turkey,Derby,2011,FDA,USA:TN,CVM N31416,enterica,,CLSI,,,,,,,,,
952,SRR3665148,SAMN05201619,<= 1,<= 1,4,2,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,64,16,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,Saintpaul,2011,FDA,USA:PA,CVM N31413,enterica,,CLSI,,,,,,,,,
953,SRR3665143,SAMN05201618,<= 1,<= 1,4,2,1,<= 0.25,4,<= 0.015,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,Pork Chop,Typhimurium,2011,FDA,USA:OR,CVM N31408,enterica,,CLSI,,,,,,,,,
954,SRR3665142,SAMN05201617,<= 1,<= 1,4,2,1,<= 0.25,4,<= 0.015,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,Pork Chop,Typhimurium,2011,FDA,USA:OR,CVM N31407,enterica,,CLSI,,,,,,,,,
955,SRR3665141,SAMN05201616,<= 1,<= 1,4,2,0.5,<= 0.25,8,<= 0.015,0.5,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,Typhimurium,2011,FDA,USA:OR,CVM N31406,enterica,,CLSI,,,,,,,,,
956,SRR3665140,SAMN05201615,2,<= 1,4,4,1,<= 0.25,4,0.03,<= 0.25,4,<= 32,128,16,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,chicken breast,Enteritidis,2011,FDA,USA:OR,CVM N31405,enterica,,CLSI,,,,,,,,,
957,SRR3665139,SAMN05201614,<= 1,<= 1,4,1,0.5,<= 0.25,4,<= 0.015,<= 0.25,2,<= 32,<= 16,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,Berta,2011,FDA,USA:MD,CVM N31404,enterica,,CLSI,,,,,,,,,
958,SRR3665138,SAMN05201613,<= 1,<= 1,4,4,1,<= 0.25,8,<= 0.015,0.5,2,== 8,32,<= 4,<= 0.125,> 64,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,chicken breast,Mbandaka,2011,FDA,USA:MD,CVM N31403,enterica,,CLSI,,,,,,,,,
959,SRR3665136,SAMN05201612,> 32,> 32,4,32,> 8,16,8,<= 0.015,0.5,4,== 8,> 256,> 32,<= 0.125,> 64,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,resistant,chicken breast,Typhimurium var. 5-,2011,FDA,USA:MD,CVM N31401,enterica,,CLSI,,,,,,,,,
960,SRR3665135,SAMN05201611,32,> 32,4,16,8,8,8,<= 0.015,<= 0.25,4,<= 32,> 256,> 32,<= 0.125,<= 8,resistant,resistant,susceptible,intermediate,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,susceptible,chicken breast,Typhimurium,2011,FDA,USA:MD,CVM N31400,enterica,,CLSI,,,,,,,,,
961,SRR3665134,SAMN05201610,<= 1,<= 1,4,1,0.5,<= 0.25,4,<= 0.015,0.5,2,<= 32,<= 16,> 32,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,Pork Chop,Berta,2011,FDA,USA:MD,CVM N31399,enterica,,CLSI,,,,,,,,,
962,SRR3665133,SAMN05201609,<= 1,<= 1,4,2,0.5,<= 0.25,4,<= 0.015,<= 0.25,2,<= 32,<= 16,> 32,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,Berta,2011,FDA,USA:MD,CVM N31398,enterica,,CLSI,,,,,,,,,
963,SRR3665131,SAMN05201608,<= 1,<= 1,4,2,1,<= 0.25,4,<= 0.015,0.5,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,Enteritidis,2011,FDA,USA:GA,CVM N31396,enterica,,CLSI,,,,,,,,,
964,SRR3665128,SAMN05201607,2,2,2,2,1,<= 0.25,4,<= 0.015,0.5,4,> 64,32,32,<= 0.125,> 64,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,susceptible,resistant,ground turkey,Hadar,2011,FDA,USA:CT,CVM N31393,enterica,,CLSI,,,,,,,,,
965,SRR3665126,SAMN05201606,32,> 32,4,16,8,8,8,<= 0.015,0.5,4,<= 32,> 256,> 32,<= 0.125,> 64,resistant,resistant,susceptible,intermediate,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,resistant,chicken breast,Typhimurium var. 5-,2011,FDA,USA:CT,CVM N31391,enterica,,CLSI,,,,,,,,,
966,SRR3665125,SAMN05201605,<= 1,<= 1,8,2,0.5,<= 0.25,4,<= 0.015,0.5,2,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,"18:z4,z23:-",2011,FDA,USA:CA,CVM N31390,arizonae,,CLSI,,,,,,,,,
967,SRR3665124,SAMN05201604,<= 1,<= 1,4,2,0.5,<= 0.25,4,<= 0.015,0.5,2,<= 32,<= 16,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,"18:z4,z23:-",2011,FDA,USA:CA,CVM N31389,arizonae,,CLSI,,,,,,,,,
968,SRR3665123,SAMN05201603,> 32,> 32,2,> 32,> 8,32,8,<= 0.015,> 16,2,> 64,> 256,> 32,0.25,> 64,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,resistant,susceptible,resistant,resistant,resistant,susceptible,resistant,ground turkey,Alachua,2011,FDA,USA:CA,CVM N31388,enterica,,CLSI,,,,,,,,,
969,SRR3665122,SAMN05201602,2,<= 1,4,2,1,<= 0.25,4,<= 0.015,0.5,4,<= 32,32,32,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,Schwarzengrund,2011,FDA,USA:CA,CVM N31387,enterica,,CLSI,,,,,,,,,
970,SRR3665120,SAMN05201600,> 32,> 32,4,32,> 8,16,4,<= 0.015,0.5,2,<= 32,64,<= 4,<= 0.125,<= 8,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,Kentucky,2011,FDA,USA:CA,CVM N31385,enterica,,CLSI,,,,,,,,,
971,SRR3665118,SAMN05201599,> 32,> 32,4,32,> 8,16,8,<= 0.015,1,2,<= 32,64,<= 4,<= 0.125,<= 8,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,Kentucky,2011,FDA,USA:CA,CVM N31383,enterica,,CLSI,,,,,,,,,
972,SRR3665117,SAMN05201598,> 32,> 32,4,32,> 8,16,4,<= 0.015,0.5,2,<= 32,64,<= 4,<= 0.125,<= 8,resistant,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,Kentucky,2011,FDA,USA:CA,CVM N31382,enterica,,CLSI,,,,,,,,,
973,SRR3665116,SAMN05201597,2,2,4,4,1,<= 0.25,4,<= 0.015,2,4,== 16,32,32,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,Schwarzengrund,2011,FDA,USA:CA,CVM N31381,enterica,,CLSI,,,,,,,,,
